DATAFLOW,LAST UPDATE,freq,unit,s_adj,indic,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2019-06,5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2019-07,5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2019-08,5.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2019-09,5.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2019-10,5.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2019-11,5.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2019-12,5.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2020-01,5.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2020-02,5.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2020-03,5.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2020-04,6.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2020-05,6.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2020-06,6.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2020-07,6.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2020-08,6.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2020-09,6.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2020-10,6.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2020-11,6.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2020-12,6.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2021-01,6.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2021-02,6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2021-03,5.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2021-04,5.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2021-05,5.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2021-06,5.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2021-07,5.2,
